name,wiki_url,constituency,exclude,party,brex_cat,brex_cat_lab,brex_cat_source,brex_cat_notes,brex_cat_link,delay_bill,may_bill,benn_bill,nodeal_bill
Jim McMahon,https://en.wikipedia.org/wiki/Jim_McMahon_(politician),Oldham West and Royton,0,Labour Co-operative,3,Deal,Abstained on Cooper amendment to extend article 50; never voted for 2nd referendum,,https://labourheartlands.com/jeremy-corbyn-faces-shadow-ministerial-resignations-over-second-referendum/ https://www.theguardian.com/uk-news/ng-interactive/2019/mar/27/how-did-your-mp-vote-in-the-indicative-votes,1,0,1,0
Jo Platt,https://en.wikipedia.org/wiki/Jo_Platt,Leigh,0,Labour Co-operative,3,Deal,Abstained on Cooper amendment to extend article 50; never voted for 2nd referendum,,https://www.mirror.co.uk/news/politics/brexit-second-referendum-blocked-just-14196259 https://www.theguardian.com/uk-news/ng-interactive/2019/mar/27/how-did-your-mp-vote-in-the-indicative-votes,1,0,1,0
Stephen Lloyd,https://en.wikipedia.org/wiki/Stephen_Lloyd,Eastbourne,0,Liberal Democrats,3,Deal,"Lib Dem MP Stephen Lloyd has quit the party's group in Parliament so he can vote for Theresa May's Brexit deal. In a statement Mr Lloyd said: ""I have come to the conclusion that I cannot honestly uphold the commitment I made... to accept the result of the referendum, vote for the deal the prime minister brought back from the EU and not back calls for a second referendum - whilst supporting the Lib Dem parliamentary party's formal position of voting against Theresa May's deal and advocating a 'People's Vote'.",NA,https://www.bbc.co.uk/news/uk-politics-46470414,1,1,1,0
Robert Jenrick,https://en.wikipedia.org/wiki/Robert_Jenrick,Newark,0,Conservative,4,Deal/No deal,"On Brexit, he supported remain during the referendum, but has since voted loyally in favour of Theresa May’s deal. But in the first indicative vote in March, he voted against every option except leaving without a deal. In the second round of votes – when no deal was not on the table – he voted against every option.","Voted remain, voted for May's deal, later indicated support for no deal in indicative vote",https://www.insidehousing.co.uk/insight/insight/who-is-new-housing-secretary-robert-jenrick-62446,1,1,0,1
Chris Skidmore,https://en.wikipedia.org/wiki/Chris_Skidmore,Kingswood,0,Conservative,4,Deal/No deal,"As a “releaver�, determined that we honour the referendum result and leave the EU, I fully support the Brexit withdrawal agreement set out by the prime minister. . . ; Skidmore has previously said he is “hugely concerned� at the prospect of leaving EU without a deal, even though he backed Johnson to replace Theresa May as prime minister. Johnson has pledged to leave the EU with or without a deal on October 31. Skidmore has also suggested that leaving without a deal, which the UK parliament has moved to block, is preferable to the continued uncertainty around the UK’s position in the EU.; Voted Remain in 2016. Would now vote Leave. It’s clear we are diverging from the future direction of EU. Yet I still respect the referendum result in 2016 as final- those calling for a second vote or delaying article 50 simply want to turn against democracy and block Brexit","Now fully behind brexit, wants deal. No deal is not the preferred option but still willing if means they will leave the EU",https://www.thetimes.co.uk/article/i-was-wrong-to-vote-remain-mays-brexit-deal-is-britains-best-hope-rbbp53vbb#; https://sciencebusiness.net/news/chris-skidmore-back-uk-universities-and-science-minister; https://twitter.com/cskidmoreuk/status/1043412625642725377?lang=en,1,1,0,0
Mel Stride,https://en.wikipedia.org/wiki/Mel_Stride,Central Devon,0,Conservative,4,Deal/No deal,"As Financial Secretary, Mel Stride is responsible for overseeing the Treasury’s preparations for all Brexit eventualities – including ‘no deal’. With exit day fast approaching, the minister is clear that leaving the EU on ‘WTO terms’ could have severe consequences for the economy.; “Clearly, no deal will happen in the absence of a deal or an extension of Article 50,” he says. “In one form or another it’s likely to still be on the table. The Cooper amendment is suggesting time for a bill that would say that in the event we didn’t have a deal we would get an extension of Article 50, which is just pushing it further down the road – which, incidentally, I think would be a very bad thing to do unless we really, really have to do it.”","Prefers a deal, but working in government to prepare for potential no deal",https://www.politicshome.com/news/uk/economy/house/house-magazine/101370/mel-stride-no-deal-brexit-would-be-extremely-difficult,1,1,0,0
Paul Scully,https://en.wikipedia.org/wiki/Paul_Scully,Sutton and Cheam,0,Conservative,4,Deal/No deal,"As you will have noticed, I don’t find any of the above particularly palatable with only the No Deal scenario being vaguely acceptable which leaves us back to the deal on the table, realistically the only game in town.; But taking No Deal off the table is madness.","Voted leave, favours deal, no deal remains an option","https://www.scully.org.uk/news/my-vote-on-the-brexit-deal/, https://www.scully.org.uk/news/getting-brexit-back-on-track/",1,1,0,1
Giles Watling,https://en.wikipedia.org/wiki/Giles_Watling,Clacton,0,Conservative,4,Deal/No deal,"But to the residents of the Clacton constituency, who I am sure have concerns about these reports, I say this: I will not back any delay to the Article 50 process, nor will I vote for a second referendum – whatever is on the ballot paper. I also maintain that we must not take the no deal option off the table, and I will not support any efforts to do so, as no sane person would be in a negotiation without the ability to walk away.","Voted to keep no deal on the table. Prefers leaving with a deal, but need to have no deal left as an option.",https://www.gileswatling.co.uk/news/giles-where-i-stand-brexit,0,0,0,1
Kirstene Hair,https://en.wikipedia.org/wiki/Kirstene_Hair,Angus,0,Conservative,4,Deal/No deal,"I have always been clear that I want to leave the EU with a deal, and the Prime Minister has been resolute that leaving with a deal is his primary goal throughout the negotiations. In order to do this, it is of vital importance that the Prime Minister continues negotiations with the EU in as strong a position as possible, and this means keeping the possibility of no deal on the table.","Consistently in favour of a deal, no deal must be left on the table for negociations",https://www.kirstenehair.co.uk/brexit,1,1,0,NA
Amber Rudd,https://en.wikipedia.org/wiki/Amber_Rudd,Hastings and Rye,0,Conservative,4,Deal/No deal,"In her resignation letter to the prime minister, Ms Rudd said: ""I joined your cabinet in good faith: accepting that no-deal had to be on the table, because it was the means by which we would have the best chance of achieving a new deal to leave on 31 October. ""However, I no longer believe leaving with a deal is the government's main objective.""","Seeks brexit deal. No deal left as an option, but to be used as negotitation tool to obtain a deal. Reisgned cabinet over govt failure to pursue a deal",https://www.bbc.co.uk/news/uk-politics-49623737,1,1,0,NA
