name,wiki_url,constituency,exclude,party,brex_cat,brex_cat_lab,brex_cat_source,brex_cat_notes,brex_cat_link,delay_bill,may_bill,benn_bill,nodeal_bill
Victoria Atkins,https://en.wikipedia.org/wiki/Victoria_Atkins,Louth and Horncastle,0,Conservative,3,Deal,“We have always been clear that the Government policy is securing a deal on our exit from the European Union.”,Voted remain but wants brexit deal. Voted against 'no deal' and 'cofirmatory vote' in the indicative parliamentary votes.,https://www.express.co.uk/news/uk/1107840/Brexit-news-Theresa-May-deal-Victoria-Atkins-Chloe-Westley-brexit-no-deal; https://twitter.com/standup4brexit/status/1121671801346514944?lang=en; https://www.express.co.uk/news/uk/1119166/Brexit-news-update-BBC-Question-Time-Victoria-Atkins-Theresa-May-deal; https://www.theguardian.com/uk-news/ng-interactive/2019/mar/27/how-did-your-mp-vote-in-the-indicative-votes,1,1,0,0
Kenneth Clarke,https://en.wikipedia.org/wiki/Kenneth_Clarke,Rushcliffe,0,Conservative,3,Deal,"And so, while Heseltine or the next generation of (formerly) Conservative pro-Europeans such as Anna Soubry are holding out for a second referendum that might keep Britain in the EU, Clarke is committed to accepting reality, as he sees it. “Unless and until I can see an opportunity of actually reversing Brexit and restoring a stable membership of the European Union, then in the real world I concentrate on minimising the damage,” he says, sitting behind a desk that could only belong to Ken Clarke. This is how Clarke, so vehement a pro-European he once championed Britain joining the euro, has found himself breaking from his one-time comrades in the cause, becoming instead an advocate of soft Brexit. ; He continues: “And don’t forget, the vast majority of Conservative MPs have, like me, already voted for a soft Brexit, most of them three times. The majority of the Conservative parliamentary party basically agree with me and they’ve demonstrated that the route they prefer is leaving with a deal. Boris accepted it. He can’t get away from the fact.","Pro european but willing to work towards a soft brexit, not in favour of second referendum",https://www.theguardian.com/politics/2019/apr/15/ken-clarke-mp-brexit-parody-student-politics-conservative-tory-europe; https://www.theguardian.com/politics/2019/sep/07/ken-clarke-interview-andrew-rawnsley-lost-tory-whip,1,1,1,0
Tobias Ellwood,https://en.wikipedia.org/wiki/Tobias_Ellwood,Bournemouth East,0,Conservative,3,Deal,"Asked if he would use his freedom on the backbenches to join other former ministers in voting against a no-deal Brexit, he said: ""I'm not going down that route at all. At the moment I'm 100% behind the Prime Minister and I actually think it's the duty of every single Member of Parliament to support the Prime Minister. ""His objective, his main effort - to use a military term - is to get a deal. The more you big up no deal, which actually isn't a destination, the more you give some of our pure Brexiteers fuel to say that's where we should want to go. ""It's been a very unhelpful debate in playing up no deal. ""It's not in our manifesto, it wasn't on the books when Vote Leave was created and it should be avoided at absolutely all costs."" He said every effort should be directed at getting a deal ""otherwise the damage to our economy will send our party into opposition for a decade"".; But Ellwood – who backed remain during the 2016 referendum – has been a firm no-deal critic, saying before his sacking that such a scenario “isn’t a solution”.","Did not outright vote against the governmnet to rule out no deal, but strongly against it. Was sacked by cabinet after critising no deal and said it 'isn't a solution'.",https://www.standard.co.uk/news/politics/tobias-ellwood-tory-minister-axed-from-government-by-boris-johnson-after-nodeal-brexit-warning-a4199351.html; https://www.theguardian.com/politics/2019/jul/27/tobiad-ellwood-urges-boris-johnson-to-dial-down-brexit-rhetoric,1,1,0,NA
Damian Green,https://en.wikipedia.org/wiki/Damian_Green,Ashford,0,Conservative,3,Deal,"Conservative MP Damian Green told LBC that anyone who thinks a second referendum would solve the Brexit impasse is ""deluded"".","Against second referendum, favours softer brexit, against no deal",https://www.lbc.co.uk/radio/presenters/nick-ferrari/second-referendum-wont-solve-anything-says-tory-mp/,1,1,0,0
David Lidington,https://en.wikipedia.org/wiki/David_Lidington,Aylesbury,0,Conservative,3,Deal,"David Lidington has become the latest senior cabinet minister to resign from Government in the wake of Boris Johnson's election as the new prime minister, saying he could not support a no-deal Brexit.; Theresa May’s deputy has given fresh hope to second referendum campaigners by saying another vote was “perfectly practical”, according to two party leaders. Change UK leader Heidi Allen said David Lidington, the Cabinet Office minister, had “clearly done his research” on the mechanics of a Final Say vote when she attended talks alongside Liberal Democrats Sir Vince Cable and Jo Swinson. Sir Vince said Mr Lidington had asserted that holding another vote would be “perfectly practical” during the meeting.","Accepts previous referendum result, but was in talks with other parties about holding second referendum. Firmly against no deal.",https://inews.co.uk/news/politics/david-lidington-resigns-boris-johnson-no-deal-brexit-497883; https://www.independent.co.uk/news/uk/politics/brexit-news-latest-second-referendum-vince-cable-david-lidington-a8909401.html;,1,1,0,NA
Rory Stewart,https://en.wikipedia.org/wiki/Rory_Stewart,Penrith and The Border,0,Conservative,3,Deal,"For the record I am pushing for Brexit and against Remain but think no deal would lead to uncertainty, damage and division","Resigned from cabinet over brexit, firmly against no deal",https://www.spectator.co.uk/2019/09/rory-stewart-am-i-still-a-conservative/,1,1,1,0
Bim Afolami,https://en.wikipedia.org/wiki/Bim_Afolami,Hitchin and Harpenden,0,Conservative,3,Deal,"I remain fully committed to respecting and delivering the result of the EU referendum. Although I voted to remain in 2016, I believe that if Parliament were to try and frustrate or overturn the result it would trigger an even more serious political crisis, and public anger. For the same reason I am also reluctant to support a second referendum on our EU membership. We all promised to abide by the result, and I intend to keep that promise.","Favours a deal, against second referendum and wants to avoid no deal scenario",https://www.bimafolami.co.uk/an-open-letter-to-my-constituents-on-brexit/,1,1,0,0
Vicky Ford,https://en.wikipedia.org/wiki/Vicky_Ford,Chelmsford,0,Conservative,3,Deal,"It seems to me we have three options: a ""no deal Brexit"", a second referendum or supporting the negotiated package. I believe the first two options carry considerable risks to jobs and livelihoods. I am therefore minded to support the negotiated package when it comes to the House of Commons for a vote.","Favours deal, against no deal or second referendum",#N/Ahttps://www.vickyford.uk/news/vickys-december-letter-chelmsford-constituents-regarding-brexit,1,1,0,0
Margot James,https://en.wikipedia.org/wiki/Margot_James,Stourbridge,0,Conservative,3,Deal,"James is one of the senior Conservative MPs who resigned before Johnson took office and made clear they would fight a no-deal Brexit . . . ""My goal is to make sure we leave in an orderly way with a negotiated settlement. And the other goal is to make sure we do not leave as the legal default implies without a deal"".","Resigned from cabinet over brexit, firmly against no deal",https://www.theguardian.com/politics/2019/jul/26/tory-mp-margot-james-not-rule-out-quitting-party-massive-shift-right-brexit,1,1,1,0
Greg Clark,https://en.wikipedia.org/wiki/Greg_Clark,Tunbridge Wells,0,Conservative,3,Deal,"The next Conservative prime minister could unleash a “wall of investment” if he resolves Brexit with a deal but risks plunging the British economy into uncertainty if he allows the UK to crash out of the EU, business secretary Greg Clark has claimed. He is expected to join chancellor Philip Hammond and about 30 other Tory MPs opposed to a no-deal Brexit on the backbenches in the House of Commons.",Opposed to no deal,https://www.ft.com/content/387d6a08-ab91-11e9-8030-530adfa879c2,1,1,1,NA
David Gauke,https://en.wikipedia.org/wiki/David_Gauke,South West Hertfordshire,0,Conservative,3,Deal,"We wait to learn details of any putative deal but, assuming negotiations with the EU are successfully concluded, even for those of us minded to support a deal (and I am), there are four questions that will need answering.; Speaking for myself, I have long argued against a second referendum and still want to avoid it. But unless we can make rapid progress towards Parliament supporting a deal, those calls are only going to grow.","Pro european but willing to work towards a soft brexit, not in favour of second referendum",https://inews.co.uk/news/politics/brexit/david-blunkett-chris-williamson-bbc-politics-no-deal-brexit-video-149828; https://www.redpepper.org.uk/the-labour-party-is-its-members-chris-williamson-mp-interview/,1,1,1,NA
Stephen Kinnock,https://en.wikipedia.org/wiki/Stephen_Kinnock,Aberavon,0,Labour,3,Deal,"He [Kinnock] told Theo that the UK should leave with a deal and he thinks Labour should have ""stuck to their guns"" on that policy.'; Advocates of a People's Vote may not like it, but the way out of this constitutional crisis is 'Norway Plus', says Labour MP STEPHEN KINNOCK","Seeks brexit deal, against second vote.",https://www.lbc.co.uk/hot-topics/brexit/stephen-kinnock-says-labour-brexit-position-muddy/; https://www.theneweuropean.co.uk/top-stories/forget-second-vote-norway-avoid-brexit-cliff-1-5799824,1,0,1,0
Lisa Nandy,https://en.wikipedia.org/wiki/Lisa_Nandy,Wigan,0,Labour,3,Deal,Local MP Lisa Nandy believes second referendum would be ‘final breach of trust’ with voters,"Against second referendum, voted against no deal brexit",https://www.theguardian.com/politics/2019/may/29/wigan-labour-brexit-lisa-nandy-second-referendum-brexit-party,NA,0,1,0
Chris Williamson,https://en.wikipedia.org/wiki/Chris_Williamson_(politician),Derby North,0,Labour,3,Deal,"On the possibility of a second referendum, the Derby North MP said: ""Frankly I don’t think there is an appetite in the House or the Parliamentary Labour Party. If you look at the opinion polls, if you look at Survation, there isn’t much appetite with the general public either. ""If we ended up with a second referendum I think the outcome would be the same, and probably an even bigger margin in favour of Leave.""; But at the end of the day, people have voted and we’ve got to go along with that. The question now is what kind of Brexit do we negotiate. That was very much our line in the parliamentary campaign in Derby North.",Not in favour of second referendum,NA,1,0,NA,NA
Caroline Flint,https://en.wikipedia.org/wiki/Caroline_Flint,Don Valley,0,Labour,3,Deal,The Labour MP for Don Valley replied: “Of course I am concerned Sophy. At the heart of all tis is trust - can we trust the Prime Minister Boris Johnson to do what he said he would do which is work to achieve a deal. “On the other side of it is can we trust those who often also don’t want a deal because they want to overturn the referendum result of 2016. That’s why myself and others have formed a group called ‘MPs for a deal’.,Pushing for brexit deal and respecting referendum result,https://www.express.co.uk/news/uk/1175345/Brexit-news-Caroline-Flint-latest-mp-no-deal-Sky-Ridge-on-Sunday-live-today-UK,1,0,1,0
John Mann,https://en.wikipedia.org/wiki/John_Mann_(British_politician),Bassetlaw,0,Labour,3,Deal,"They [rebel Labour MPs] have tabled two amendments to a bill which aims to make it illegal for Boris Johnson to take the UK out of the EU without a deal on 31 October. Seventeen Labour MPs have put their names to the amendments, including Stephen Kinnock, Gloria de Piero, John Mann and Caroline Flint. But the rebel Labour MPs say voters will be left ""banging their head against a brick wall"" if Brexit is delayed any further. Instead, they say there should be a Commons vote on the final version of Mrs Mays deal, which was never put before MPs because it was destined to be defeated. In a statement, they said: ""Parliament is paralysed by its extremes. Those who are willing to entertain the prospect of no deal, and those for whom no Brexit deal, however comprehensive, will ever be acceptable. ""We do not agree with either camp. We need a deal"".; John Mann, the MP for Bassetlaw who supported Theresa Mays failed withdrawal deal, said he would vote for Johnsons plan and believed there were more than enough Labour votes to pass any agreed deal.","Consistently voted for withdrawal deals, against no deal.",https://www.politicshome.com/news/uk/political-parties/conservative-party/theresa-may/news/106276/rebel-labour-mps-call-vote; https://www.theguardian.com/politics/2019/oct/03/no-labour-mp-could-support-johnson-brexit-plan-says-corbyn,NA,NA,NA,NA
Ian Lavery,https://en.wikipedia.org/wiki/Ian_Lavery,Wansbeck,0,Labour,3,Deal,"Those who shriek that only reversing the result of the referendum will solve our problems are simply living in cloud cuckoo land. At the same time, I believe that a no-deal Brexit is at best a leap into the dark and that is why I voted to take it off the table. I am simply not prepared to gamble with the livelihoods of my constituents whichever way they voted . . . We need to uphold democracy and follow through on the will expressed by the referendum. The short pause in the proceedings that now looks likely should be used to negotiate an exit that restores our sovereignty, protects jobs and our rights.","Respects referendum result, against no deal scenario",https://www.ianlavery.co.uk/brexit/,1,0,1,0
Laura Pidcock,https://en.wikipedia.org/wiki/Laura_Pidcock,North West Durham,0,Labour,3,Deal,"We have to deal in reality: we are leaving the EU, and our job is to hold the Government up to scrutiny, and get the best deal possible for our communities.","Respecting referendum result, strongly against no deal",https://twitter.com/LauraPidcockMP/status/1007282287673794562,1,0,1,0
Tracy Brabin,https://en.wikipedia.org/wiki/Tracy_Brabin,Batley and Spen,0,Labour Co-operative,3,Deal,"“I accept and respect the result of last year’s referendum. Britain will leave the European Union and that includes the Single Market. I believe that Government must work to secure the best Brexit deal for Britain, including for Batley & Spen.'","Wants to respect the brexit result, against no deal",https://tracybrabinmp.com/2017/09/08/tracy-brabin-mp-statement-on-the-repeal-bill/; https://twitter.com/TracyBrabin/status/1082209793803255808,1,0,1,0
Nicholas Soames,https://en.wikipedia.org/wiki/Sir_Nicholas_Soames,Mid Sussex,0,Conservative,3,Deal,"""A no deal Brexit or a second referendum might push Britain into the kind of loathsome and hateful partisan bitterness that disfigures American public life""; On 3 September 2019, Soames joined 20 other rebel Conservative MPs to vote against the Conservative government of Boris Johnson and pass a motion allowing backbenchers to take control of the House of Commons timetable in order to pass a bill to stop a no-deal exit from the EU without parliamentary approval. Effectively, they helped block Johnson's Brexit plan from proceeding on 31 October",NA,https://twitter.com/bbcpolitics/status/1070687758736375808; https://en.wikipedia.org/wiki/Nicholas_Soames,1,1,1,0
Julian Sturdy,https://en.wikipedia.org/wiki/Julian_Sturdy,York Outer,0,Conservative,3,Deal,"""In delivering a second referendum, we would just continue, and even deepen, the division and uncertainty with what would be an abdication of our responsibility as elected representatives to deliver a workable solution. ""I also have grave concerns about no deal. I believe it would lead to an economic correction. No one knows to what extent or how severe that correction might be, but there is a lot of crystal ball gazing—a gamble that could cost growth and jobs. I think it is reasonable to ask whether that gamble is worth taking.""I hoped that the Prime Minister would be able to present an agreement to the House after the pause with a formal guarantee and a mechanism that would give us power to leave the backstop.",NA,https://www.yorkshirepost.co.uk/news/politics/pms-brexit-deal-leap-faith-and-i-cant-support-it-says-york-outer-mp-julian-sturdy-156638,0,0,0,NA
Caroline Spelman,https://en.wikipedia.org/wiki/Caroline_Spelman,Meriden,0,Conservative,3,Deal,"""My constituency voted Leave and I am respectful of that. But I believe it is very much in their interests that we leave with a deal in an orderly fashion.""",NA,https://www.bbc.co.uk/news/uk-england-birmingham-49593559,1,1,1,0
Peter Bottomley,https://en.wikipedia.org/wiki/Sir_Peter_Bottomley,Worthing West,0,Conservative,3,Deal,"""To leave on no deal, in what's called no deal, which is some sort of similarity to WTO, I think would be an unintended mistake and error by both sides. ""I'm convinced that if we can leave on reasonable terms, the difference to our economy may set us back 3 to 5 per cent over a period of years, not each year. ""If we crash out, I suspect we'd have a hit to our economy of about 10 to 12 per cent and then have to rescue ourselves from that.""",NA,https://www.lbc.co.uk/news/sir-peter-bottomley-no-deal-brexit-mistake/,1,1,0,0
Lucy Frazer,https://en.wikipedia.org/wiki/Lucy_Frazer,South East Cambridgeshire,0,Conservative,3,Deal,"""We had a referendum and people said that they wanted to leave, so we need to leave in an ordered way and move on.""This is frustrating for the country but we need a measured approach and to come together on this. ""I would like to leave with a deal, but I think parliament is making negotiations harder by saying we will leave without a deal. """,NA,https://www.elystandard.co.uk/news/lucy-frazer-interview-on-brexit-and-threats-4909052,1,1,0,0
Matthew Hancock,https://en.wikipedia.org/wiki/Matthew_Hancock,West Suffolk,0,Conservative,3,Deal,"A no-deal Brexit will not happen “whether people want it or not,” a Cabinet minister declared today. Health Secretary Matt Hancock risked angering pro-Brexit Tory MPs when he categorically ruled out the UK quitting the EU without a withdrawal agreement in place.; Matt Hancock has insisted that a no-deal Brexit ""cannot be stopped"" by MPs, just weeks after claiming that it was ""not credible"" for any Prime Minister to pursue the option. The Health Secretary said he had “changed his mind” after the Commons voted down Labour's attempt to seize control of the order paper in June as part of a bid to stop any PM railing through the option without Parliament’s consent.",NA,https://www.politicshome.com/news/article/cabinet-minister-matt-hancock-says-nodeal-brexit-will-not-happen; https://www.politicshome.com/news/article/matt-hancock-says-nodeal-brexit-cannot-be-stopped-by-mps-in-fresh-uturn,1,1,0,NA
Antoinette Sandbach,https://en.wikipedia.org/wiki/Antoinette_Sandbach,Eddisbury,0,Conservative,3,Deal,"“I did that respecting the referendum result in my constituency but I have always said I would not support a no-deal Brexit, which is the worst possible outcome for this country.”",NA,https://www.cheshire-live.co.uk/news/chester-cheshire-news/antoinette-sandbach-mp-kicked-out-16866759,1,1,1,0
John Lamont,https://en.wikipedia.org/wiki/John_Lamont,"Berwickshire, Roxburgh and Selkirk",0,Conservative,3,Deal,"“I want the UK to leave the EU with a sensible deal, which is why I twice voted in favour of the only deal on the table.""; “Those who oppose this agreement must explain to their constituents why they would prefer the disruption and uncertainty of No Deal instead.",NA,https://www.johnlamont.org/news/lamont-oppose-opposition-attempt-derail-brexit-negotiations; https://www.thesouthernreporter.co.uk/news/politics/lamont-defiant-in-support-of-eu-deal-3082406,NA,0,0,NA
Thomas Tugendhat,https://en.wikipedia.org/wiki/Tom_Tugendhat,Tonbridge and Malling,0,Conservative,3,Deal,"“The consequence of no deal in Northern Ireland is extremely serious. The truth is no deal is not sustainable,” said Tugendhat.; Although Tugendhat admits “I think it is very difficult” to do this deal, he holds Johnson to the promises of the Leave campaign. “Johnson and his team led the referendum clear that they could deliver an agreement in 2016, they were absolutely certain they could, they said it would be an easy deal”. “Do it,” he commands an invisible PM. “You said you can do it, you promised you can do it. Do it. It’s the one thing you must do.”","voted remain, voted for may's brexit deal",https://www.theguardian.com/politics/2019/jun/13/no-deal-exit-extremely-serious-for-northern-ireland-warns-tory-mp; https://www.politicshome.com/thehouse/article/tom-tugendhat-mp-ive-come-across-nothing-quite-so-childish-as-british-politics-and-parliament; https://www.bbc.co.uk/news/uk-politics-47748806,NA,1,0,NA
Colin Clark,https://en.wikipedia.org/wiki/Colin_Clark_(politician),Gordon,0,Conservative,3,Deal,“We don’t want no-deal or for the tariff schedule to kick in. It will be reviewed after a no-deal.”,NA,https://www.thecourier.co.uk/fp/business-environment/farming/1007664/brexit-troubled-farmers-beg-politicians-for-clarity/,1,1,0,0
Keith Simpson,https://en.wikipedia.org/wiki/Keith_Simpson_(politician),Broadland,0,Conservative,3,Deal,"Among the 17 Conservatives who backed the amendment on Thursday was Tory veteran Keith Simpson, who said it was the first time he had defied party whips during 22 years in parliament. “This is a huge national issue,” he said. “I said months ago to my local paper and my association that I was totally against no-deal. So this is the first time I have rebelled but you can get a taste for it; All were Remainers in 2016: Burt and Simpson supported the Withdrawal Act.  Greening, by contrast, is an enthusiastic backer of a second referendum.",keith,https://www.theguardian.com/politics/2019/jul/18/tory-rebels-send-stark-warning-to-boris-johnson-over-no-deal-brexit; https://www.conservativehome.com/parliament/2019/09/burt-simpson-greening-all-will-stand-down-at-the-next-election.html,1,1,0,0
Robert Buckland,https://en.wikipedia.org/wiki/Robert_Buckland,South Swindon,0,Conservative,3,Deal,"As most of you will be aware, I campaigned hard to remain within the European Union, but I feel strongly about the need to uphold the result of the referendum. It cannot be ignored  An overwhelming number of MPs voted for it in Parliament, and in the 2017 General Election, both the main parties stood on a platform of delivering Brexit and received the vast majority of votes. I have been asked about a second referendum.  I am opposed to a second referendum on the basis that I believe it will cause further instability, which would be politically and socially damaging.; When Mr Buckland was presented with his previous comments where he argued against no-deal on the BBC Radio 4 Today programme, he said: “Well, I’ve consistently argued that point and I still do that.” “And that’s why I think that the work that’s being done within government to ensure an orderly Brexit is vital. The choice I think that faces us now is either disorder in terms of Brexit or an orderly, sensible approach.”",NA,https://www.robertbuckland.co.uk/news/brexit-update-letter-residents; https://inews.co.uk/news/politics/no-deal-brexit-boris-johnson-justice-secretary-robert-buckland-bbc-radio-4-today-325305,1,1,0,0
Simon Hart,https://en.wikipedia.org/wiki/Simon_Hart,Carmarthen West and South Pembrokeshire,0,Conservative,3,Deal,"As someone who voted remain back in 2016 I am more concerned that attempts to frustrate the outcome of the referendum are anti-democratic, especially when dressed up in some other guise.; He helped form and lead the Brexit Delivery Group, a group of 51 MPs who argued for a negotiated exit from the EU.[25]",NA,https://www.facebook.com/simonhartmp/posts/i-havent-posted-about-brexit-recently-partly-due-to-readers-urging-me-to-give-th/1439688852873463/; https://en.wikipedia.org/wiki/Simon_Hart,1,1,0,NA
Mark Prisk,https://en.wikipedia.org/wiki/Mark_Prisk,Hertford and Stortford,0,Conservative,3,Deal,"Bishop’s Stortford’s MP, Conservative Mark Prisk, has said he is “not inclined” to support a second referendum on Brexit.; Mr Prisk, who has represented the Hertford and Stortford constituency since 2001, said yesterday (Wednesday) that he would vote to block a no-deal and has faced criticism online not following through last night.",NA,https://www.bishopsstortfordindependent.co.uk/news/mp-mark-prisk-explains-why-he-did-not-vote-to-block-no-deal-brexit-9064475/; https://www.bishopsstortfordindependent.co.uk/news/mp-mark-prisk-explains-why-he-did-not-vote-to-block-no-deal-brexit-9064475/,1,1,0,0
Nicholas Boles,https://en.wikipedia.org/wiki/Nicholas_Boles,Grantham and Stamford,0,Conservative,3,Deal,"Boles supported the Remain campaign in the European Union membership referendum in 2016. Boles favours a Norway-style relationship between the UK and the EU after Brexit and strongly opposes a no deal Brexit. Boles said ""if at any point between now and 29 March [2019] the government were to announce that 'no deal' Brexit had become its policy, I would immediately resign the Conservative whip and vote in any way necessary to stop it from happening.""",NA,https://en.wikipedia.org/wiki/Nick_Boles,1,1,1,0
Steve Brine,https://en.wikipedia.org/wiki/Steve_Brine,Winchester,0,Conservative,3,Deal,"Brine had the Conservative whip removed on 3 September by Prime Minister Boris Johnson for supporting the Benn Act, an attempt to prevent a no-deal Brexit. . . Brine supported the UK remaining within the EU in the 2016 UK EU membership referendum. He voted for then Prime Minister Theresa May's Brexit withdrawal agreement in early 2019. In the indicative votes on 27 March, Brine voted for single market membership, customs union with the EU, the Norway-plus model, and against a no-deal Brexit.[23] He had resigned from his ministerial post two days prior.[24] Brine supported Jeremy Hunt in the 2019 Conservative Party leadership election.[25] He voted for the legalisation of same-sex marriage in Northern Ireland.",NA,https://en.wikipedia.org/wiki/Steve_Brine,1,1,1,0
Sarah Newton,https://en.wikipedia.org/wiki/Sarah_Newton,Truro and Falmouth,0,Conservative,3,Deal,"Falmouth and Truro MP Sarah Newton has reportedly quit her ministerial position after tonight's no-deal Brexit vote. The Mirror says that the Conservative DWP minister resigned after defying Theresa May to block No Deal completely. Sam Coates, deputy political editor for The Times tweeted: ""Sarah Newton, well regarded DWP minsiter, has resigned. ""I understand she was told she could abstain and keep her job, and has chosen to vote against and resign That also makes it sound like the cabinet wont be sacked...""; I am backing the PM. Changing leaders doesn't change the fact that Parliament needs to deliver what the majoirty said we would do - the best possible Brexit. Not a no deal Brexit. Not exiting Brexit.",NA,https://www.cornwalllive.com/news/cornwall-news/sarah-newton-resigns-live-updates-2643366; https://m.facebook.com/SarahNewtonTandF/photos/i-am-backing-the-pm-changing-leaders-doesnt-change-the-fact-that-parliament-need/965245470343482/,1,1,0,0
Mike Freer,https://en.wikipedia.org/wiki/Mike_Freer,Finchley and Golders Green,0,Conservative,3,Deal,"I campaigned and voted to remain in the European Union, but I have respected the referendum result and voted for the deal every time it has been brought to Parliament. I have never supported leaving without a deal and I believe the best way to avoid no deal is to secure a deal and that means having to hold our nerve during the next few weeks.",NA,https://www.mikefreer.com/news/brexit-statement-030919,1,1,0,0
Bob Neill,https://en.wikipedia.org/wiki/Bob_Neill,Bromley and Chislehurst,0,Conservative,3,Deal,"I campaigned to remain in the EU but I accept that our side lost the referendum. I continue to believe that a ‘no-deal’ outcome would be harmful to this country, albeit that we are better prepared to mitigate it than we were in March, and I wish to avoid it. The only sure way of doing that is to agree a deal.",NA,https://www.bobneill.org.uk/news/todays-brexit-vote,1,1,0,0
Simon Hoare,https://en.wikipedia.org/wiki/Simon_Hoare,North Dorset,0,Conservative,3,Deal,"I have supported every single vote in Parliament to deliver on that result.  To do anything other would be a scandalous breach of democratic faith.  I do not support a second referendum on the principle.  The Government and I made clear we would view the result as binding upon Parliament.  I maintain that view.  I do not support a referendum on the deal.  I have never been in favour of leaving without a deal.  I agree that no deal is better than a bad deal but I am committed to securing a good deal, making a bad deal a redundant option.  I am a cautious man.  Part of my inner caution shaped my Remain stance.  I am not persuaded that leaving on WTO terms and losing the benefits of frictionless trade is the right option for our country.  I cannot support it.",NA,https://www.facebook.com/simonhoarenorthdorset/posts/i-have-sent-this-letter-to-all-north-dorset-constituents-who-have-written-to-me-/2226139867664079/,1,1,0,0
Oliver Heald,https://en.wikipedia.org/wiki/Oliver_Heald,North East Hertfordshire,0,Conservative,3,Deal,"I supported Remain in the referendum campaign, but made it clear that I would accept the national result. The majority voted to leave and I have therefore supported reaching a Deal with the EU for an orderly exit. I voted 3 times in Parliament in support of the Deal put forward by Theresa May, but each time the vote was lost. I consider a Deal with the EU to be in the national and local interest and believe most constituents agree with my approach. I will continue supporting reaching a Deal with the EU. There are MPs now expressing concern over a No Deal Brexit and saying they wished they had voted for the Deal. They should have. Most others attacking a No Deal Brexit are against any Deal with the EU and against Brexit. They do not accept the democratic result of the referendum.; Yesterday was a big day in Parliament as MPs tried to halt a no-deal Brexit – but how did our Conservative MPs vote? Bim Afolami, MP for Hitchin and Harpenden, Mid Beds MP Nadine Dorries, Sir Oliver Heald, MP for North East Herts, and Stevenage MP Stephen McPartland all voted with the government.",NA,https://www.oliverheald.com/news/statement-about-brexit; https://www.thecomet.net/news/mps-alistair-burt-and-nadine-dorries-on-brexit-vote-5423506,1,1,0,0
Victoria Prentis,https://en.wikipedia.org/wiki/Victoria_Prentis,Banbury,0,Conservative,3,Deal,I voted in support of the Withdrawal Agreement Bill during first and second reading of the Bill in the House of Commons.  I am a leader of the group MPs for a Deal and I strongly believe the only way we can achieve Brexit while avoiding a No Deal exit is to vote for a Deal.,NA,https://www.victoriaprentis.com/brexit,NA,1,0,0
Richard Graham,https://en.wikipedia.org/wiki/Richard_Graham_(politician),Gloucester,0,Conservative,3,Deal,"I voted with the government for the Withdrawal Agreement Bill that is the necessary first negotiated step for leaving the EU. Had we succeeded we might have needed a few more days but would have left the EU on more or less the 29th March. But not enough of my colleagues supported the Bill, either because they didn’t think it was ‘good enough’ (many) or prefer No Deal (some) or really prefer a Second Referendum / No Brexit (a few). Labour – although all elected on the same mandate as us (to respect the Referendum result), are not treating this as a national issue to be dealt with on a cross party consensus basis and will not give the Bill any support. We vote (free vote) on the government motion of do we go ahead with No Deal on the 29th March and I will vote against leaving with No Deal. Previously the argument was that we had to keep no Deal on the table for negotiating purposes. I agreed with that, but I believe (and the EU has now said unequivocally) that we have now extricated as many concessions from the EU as we can do and so there is no more leverage from No Deal: only the risk of actually ending there. I’ve explained elsewhere on my website (LINK) why No Deal is a real issue, especially at this late stage (16 days before March 29th).",NA,https://www.richardgraham.org/news/brexit-update,1,1,0,0
Ed Vaizey,https://en.wikipedia.org/wiki/Ed_Vaizey,Wantage,0,Conservative,3,Deal,"I will continue to support the Prime Minister’s efforts to secure a workable withdrawal agreement and, if need be, vote to increase Parliamentary control of the process to avoid a no deal exit.",voted to block 'no-deal',https://www.heraldseries.co.uk/news/opinion/columns/17593522.ed-vaizey-done-2019/,1,1,1,0
Greg Hands,https://en.wikipedia.org/wiki/Greg_Hands,Chelsea and Fulham,0,Conservative,3,Deal,"It is now over three years since the referendum, and the UK needs to bring the Article 50 negotiating period to a conclusion. Extending the Brexit date will not prevent a ‘No deal’ Brexit. The only way to prevent ‘No deal’ is to pass a deal. That is what my focus is on.",NA,https://www.greghands.com/news/september-brexit-update-greg-hands  https://twitter.com/greghands/status/1114456927088594945,0,0,0,0
Julian Smith,https://en.wikipedia.org/wiki/Julian_Smith_(politician),Skipton and Ripon,0,Conservative,3,Deal,"Julian Smith has broken ranks with Boris Johnson by insisting that a no-deal Brexit would be “very, very bad” for Northern Ireland. The Secretary of State for NI said preventing the UK from crashing out of the European Union without an agreement had been a “priority” for his department.; In a blunt analysis, the Government's chief whip Julian Smith said there was no chance of passing a version of Mrs May's deal without Labour's support – and warned that the Government could be 'sunk' if it tried. A source said Mr Smith told yesterday's meeting of the Cabinet: 'It's a customs union or a second referendum, and we are not having a second referendum.'",NA,https://www.politicshome.com/news/article/julian-smith-breaks-ranks-with-boris-johnson-to-brand-nodeal-brexit-very-bad-for-northern-ireland; https://www.dailymail.co.uk/news/article-6978189/Chief-whip-Julian-Smith-tells-Cabinet-choose-Labours-customs-union-second-referendum.html,1,1,0,NA
